Type,Site,Depth.cm,Distance  m,pH,Eh mV,EC mScm,AVS umolg,TotalS.oes.umolg,Porewater FeII mgL ,Porewater total Fe II mgL,Porewater FeIII mgL,Pore-water sulfate mgL,As.oes  ,Co.oes   ,Cr.oes   ,Cu.oes   ,Fe.oes   ,Mn.oes   ,Ni.oes   ,P.oes   ,Pb.oes  ,S.oes   ,Zn.oes   ,Ti.ms,V.ms,Cr.ms,Mn.ms,Fe.ms,Co.ms,Cu.ms,Zn.ms,As.ms,Rb.ms,Sr.ms,Mo.ms,Cd.ms,Ba.ms,Pb.ms,Bi.ms,Th.ms,U.ms
Sediment,S 5,7.5,287,7.31,-60,55.9,143.27,NA,1.52,2.91,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.08,40.25,20.46,102.94,25336.34,15.49,8.56,22.99,3.52,8.59,167.54,12.62,0.35,10.9,7.15,0.02,6.73,3.58
Sediment,S 5,12.5,287,7.3,-92,NA,102.8,792.5,1.57,2.86,1.29,12761.22,6.423100907,14.13444528,10.11746753,6.590972228,22928.16788,116.7860239,14.12616793,537.3592258,7.730217464,25415.43216,17.38134377,184.97,36.38,14.26,151.22,29733.4,21.49,7.46,23.03,3.58,7.7,172.96,16.63,0.29,12.3,7.26,0.01,6.79,5.68
Sediment,S 5,17.5,287,7.38,-56,50.9,112.19,728.02,1.52,3.17,1.65,12730.61,2.06722347,9.93774861,12.84299585,7.439077765,17910.60555,74.07959373,9.906592944,504.3490864,7.371213584,23347.71412,18.1377878,206.52,40.77,19.17,100.53,24981.26,15.1,9.23,22.22,3.44,9.13,175.53,12.49,0.36,11.96,7.57,0.02,7.67,3.57
Sediment,S 5,22.5,287,7.51,49,NA,157.51,1394.66,1.43,2.32,0.9,10557.14,2.684645629,14.58234206,15.27833998,7.161189055,39976.37478,195.6875247,13.09137125,623.2026317,8.468315164,44726.90135,13.32929858,215.9,36.28,17.62,261.54,51052.93,20.91,9.38,17.85,5.35,8.17,208,12.15,0.2,21.47,8.64,0.02,8.12,7.79
Dredge spoil,S 6,7,2,4.75,305,0.05,0.36,23.17,NA,NA,NA,NA,0,0,3.972976374,0.800487043,3155.346215,30.43959612,4.563647493,20.11050327,2.53788103,743.2026332,0.860110595,1059.27,4.97,4.4,64.05,3911.97,0.7,3.75,2.02,NA,1.45,7.35,1.58,0,7.47,2.22,0,3.46,0.58
Dredge spoil,S 6,10,2,4.65,304,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 6,18,2,4.82,250,0.2,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.18,NA,1.57,18.4,1314.04,0.18,NA,6.71,NA,0.53,0.37,0.58,0,1.89,0.92,0,1.6,0.25
Dredge spoil,S 6,20,2,4.65,305,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 6,22,2,4.32,279,0.18,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.51,0.79,0.92,16.8,949.93,0.12,NA,4.43,0.01,0.45,0.17,0.6,0,1.39,0.69,0,1.09,0.12
Dredge spoil,S 6,25,2,4.13,338,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378.71,6.47,4.6,20.79,3689.84,0.6,0.06,2.5,0.34,2.76,1.14,1.83,0.01,5.57,1.9,0.01,3.49,0.41
Dredge spoil,S 6,28,2,4.18,342,0.1,7.89,4.58,NA,NA,NA,NA,0,0,4.699950221,0.629107902,3447.935241,15.71221272,2.215526864,14.2063727,1.16679943,146.9699882,0.430407074,446.72,8.97,6.5,24.77,4518.19,0.81,2.17,2.18,1.06,3.16,1.11,2.23,0.01,3.67,1.83,0.01,3.73,0.39
Dredge spoil,S 6,32,2,4.18,324,0.43,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
